name,rating,reviews,cuisine,price,location
Nawab Chatga,4.2,3128,Bengali,$$,Gulshan
Bangla Korai Restaurant,4.2,33,Bengali,৳1–200,Gulshan
Paturi Banani,4.3,1467,Bengali,$$,Gulshan
Green Bangla Khabar Restaurant,4.6,17,Bengali,N/A,Gulshan
Jadu Bangla Restaurant,4,652,Bengali,৳1–200,Gulshan
Jatra Biroti,4.1,4134,Bengali,$$$,Gulshan
Sharmin Queen,4.5,1177,Bengali,$$,Gulshan
Binni Restaurant,4,1285,Bengali,$$,Gulshan
Hello Dhaka,4.2,213,Bengali,$$,Gulshan
Terracotta Tales,4.3,2933,Bengali,N/A,Gulshan
Dhaka Metro Restaurant,4.1,1327,Bengali,$$,Gulshan
Royal Bengal,4.1,23,Bengali,N/A,Gulshan
Khushboo Restaurant,4.1,1355,Bengali,৳400–600,Gulshan
Sweets of Bengal,4.2,357,Bengali,৳1–200,Gulshan
"Ankur Restaurant, Gulshan Lake Drive",4.3,12,Bengali,N/A,Gulshan
Kosturi Kitchen,3.8,980,Bengali,$$,Gulshan
Nimtola Bangla Food Hotel,5,2,Bengali,N/A,Gulshan
Notun Polao Ghor,3.9,341,Bengali,৳200–400,Gulshan
Lucknow Dhaka,4.1,1879,Bengali,"৳2,000+",Gulshan
Sokal Sondha Biriyani House,4.8,4,Bengali,N/A,Gulshan
Yum Cha District,4.4,2654,Chinese,N/A,Gulshan
Bamboo shoot Gulshan,4.2,1193,Chinese,"৳2,000+",Gulshan
BAO,4.2,1248,Chinese,$$,Gulshan
敦煌楼,4.6,65,Chinese,"৳2,000+",Gulshan
The Red Chamber,4.2,530,Chinese,N/A,Gulshan
HAKKA DHAKA,4.2,2242,Chinese,$$,Gulshan
PD-Panda Dumplings,4.2,2108,Chinese,$$,Gulshan
Chows,4.2,1172,Chinese,"৳2,000+",Gulshan
Hongbao,4.5,545,Chinese,"৳2,000+",Gulshan
China Garden Restaurant Ltd,4.3,343,Chinese,"৳2,000+",Gulshan
"Cheong Shing Restaurant, Dhaka.",4.2,634,Chinese,"৳2,000+",Gulshan
贤聚炭烤,4.4,82,Chinese,"৳2,000+",Gulshan
Sichuan hotpot,4.7,113,Chinese,"৳2,000+",Gulshan
KFD Express,4.2,2334,Chinese,৳200–400,Gulshan
China101,4.3,236,Chinese,N/A,Gulshan
China Town BBQ,4.5,202,Chinese,"৳2,000+",Gulshan
Olive Garden,3.8,407,Chinese,"৳2,000+",Gulshan
Garlic 'n Ginger Gulshan,4,1284,Chinese,$$,Gulshan
New Cathay,4,527,Chinese,$$,Gulshan
Hakka Dhaka,4.2,44,Chinese,N/A,Gulshan
Sajna Restaurant,4.1,2702,Indian,$$,Gulshan
Amrit restaurant,4.7,963,Indian,N/A,Gulshan
Handi (Gulshan Branch),4,3730,Indian,$$,Gulshan
KHAZANA,4.3,711,Indian,N/A,Gulshan
Koyla Restaurant,4.2,2752,Indian,$$,Gulshan
Bukhara Restaurant,4.2,971,Indian,"৳2,000+",Gulshan
Flambe Restaurant,4.3,1386,Indian,$$,Gulshan
Dhaba Banani,3.9,1380,Indian,$$,Gulshan
Istanbul Restaurant Dhaka,4.1,1909,Indian,"৳2,000+",Gulshan
Tarka,4,2188,Indian,$$,Gulshan
Kareem's Dhaka,3.9,153,Indian,"৳2,000+",Gulshan
The Great Kabab Factory,4.3,2280,Indian,$$$,Gulshan
Tarka Express,4.1,44,Indian,৳400–600,Gulshan
Darbar,3.9,9,Indian,৳400–600,Gulshan
Koreana Restaurant,4.4,2770,Indian,"৳2,000+",Gulshan
Roll Xpress Cafe,4.3,2042,Indian,$$,Gulshan
Santoor Fusion Dining,4.1,37,Indian,N/A,Gulshan
Thai Emerald,4.3,2969,Thai,$$$,Gulshan
Laughing Buddha,4.4,1224,Thai,"৳2,000+",Gulshan
Thai Signatures,4.2,606,Thai,N/A,Gulshan
Soi 71,4.2,1738,Thai,"৳2,000+",Gulshan
Khao San - Gulshan,4.3,392,Thai,$$,Gulshan
Mamagocho,4.5,351,Thai,N/A,Gulshan
Pan Tao Thai Cuisine,4.2,1201,Thai,N/A,Gulshan
Krua Thai,3.9,2182,Thai,$$$,Gulshan
Ruen Busaba,4.3,578,Thai,"৳2,000+",Gulshan
Sukumvit Thai Restaurant,5,9,Thai,N/A,Gulshan
Thai Bahn,4.1,25,Thai,৳600–800,Gulshan
SILK SPOON,5,2,Thai,N/A,Gulshan
Thai Zone & Food Gallery Restaurant,5,3,Thai,N/A,Gulshan
Authentic Thai Dining,3.9,12,Thai,N/A,Gulshan
Baan Busaba,4.1,80,Thai,N/A,Gulshan
BOHO Banani,4.1,486,Thai,N/A,Gulshan
Mi Thai,4,78,Thai,৳400–600,Gulshan
Sawadee,3.8,22,Thai,N/A,Gulshan
Bella Italia,4.3,2211,Italian,$$,Gulshan
Brio: Italian Restaurant,4.4,102,Italian,"৳2,000+",Gulshan
Raffinato Ristorante Italiano,4,592,Italian,N/A,Gulshan
Prego,4.3,266,Italian,"৳2,000+",Gulshan
Pizza Da Wali,4.5,327,Italian,N/A,Gulshan
"Spaghetti Jazz, Dhaka",4.2,1044,Italian,"৳2,000+",Gulshan
Ciao Dhaka,4.3,205,Italian,N/A,Gulshan
Pizza & More,4.4,303,Italian,N/A,Gulshan
O' Play Restaurant,4.2,1791,Italian,$$$,Gulshan
Evviva Italian Ristorante,4.1,312,Italian,N/A,Gulshan
Pizza Roma,4.2,948,Italian,$$,Gulshan
Pizza Guy,4.3,3525,Italian,$$,Gulshan
MANZO Restaurant Dhaka,4.5,411,Italian,"৳2,000+",Gulshan
Only Pasta: From Flour To Flavor- Best Pasta In Bangladesh,4.7,76,Italian,৳400–800,Gulshan
Bistro-E,4.4,2024,Italian,$$$,Gulshan
Pizza Italiana,4.1,176,Italian,$$,Gulshan
PastaMania Bangladesh,4.2,278,Italian,৳400–600,Gulshan
Pizza Bellino - Gulshan,5,12,Italian,N/A,Gulshan
Pizza Milano BD,4.4,60,Italian,"৳1,000–1,200",Gulshan
Pizza Inn Gulshan 1,4.1,3566,Italian,$$$,Gulshan
কিমবাপ হাউজ বাই কোরিয়ানা রেস্টুরেন্ট,4.5,146,Korean,N/A,Gulshan
MOJA Korean Fusion Restaurant,4.9,286,Korean,N/A,Gulshan
Goong The Castle,4.4,834,Korean,"৳2,000+",Gulshan
Sura Korean Restaurant,4.3,633,Korean,"৳2,000+",Gulshan
Sol,5,2,Korean,N/A,Gulshan
Kora Fry,4.2,83,Korean,৳200–400,Gulshan
Kimchi Season,5,3,Korean,N/A,Gulshan
ABSOLUTE KOREAN,3,67,Korean,N/A,Gulshan
Mokja BD,4.3,64,Korean,N/A,Gulshan
Flames of Korea,4,220,Korean,N/A,Gulshan
Bunka: Oriental All-You-Can-Eat,4.1,474,Korean,"৳2,000+",Gulshan
New Dragon 新龙轩,4,81,Korean,N/A,Gulshan
Asian Express,2.8,4,Korean,N/A,Gulshan
bbq Bangladesh Banani,4.2,1063,Korean,$$$,Gulshan
Izumi Japanese Kitchen,4.5,2126,Japanese,"৳2,000+",Gulshan
Takumi,4.6,497,Japanese,"৳2,000+",Gulshan
kiyoshi,4.4,1491,Japanese,$$$,Gulshan
Sushi Tei Bangladesh,4.3,1114,Japanese,"৳2,000+",Gulshan
Umai,4.3,683,Japanese,"৳2,000+",Gulshan
Tokyo Kitchen,4.2,1890,Japanese,$$,Gulshan
Izakaya Gulshan,4.4,45,Japanese,"৳2,000+",Gulshan
Teppanyaki Dhaka,4.4,34,Japanese,"৳2,000+",Gulshan
Tokyo Express,4.2,1860,Japanese,$$,Gulshan
Ginza,4.2,2464,Japanese,$$,Gulshan
Konami Dhaka,4.7,68,Japanese,"৳2,000+",Gulshan
Fools Diner,4.4,2117,Japanese,$$,Gulshan
Sushi Samurai,4.1,990,Japanese,$$$,Gulshan
Nori,4.5,596,Japanese,N/A,Gulshan
Yumi at Sheraton Dhaka,4.5,208,Japanese,"৳2,000+",Gulshan
Teriyaki Boy & Sizzlin' Steak,4.4,203,Japanese,N/A,Gulshan
"Japanese Restaurant ICHI in Banani, Dhaka.",4,340,Japanese,$$$,Gulshan
Sushi Go,4.3,123,Japanese,N/A,Gulshan
Samdado Japanese Cuisine,4.5,2,Japanese,N/A,Gulshan
Hiroshi Ramen,4.4,44,Japanese,"৳2,000+",Gulshan
El Toro Mexican Restaurant,4.1,1131,Mexican,$$$,Gulshan
Taqueria Lola,4.1,446,Mexican,$$,Gulshan
Dos Locos,3.7,50,Mexican,N/A,Gulshan
Cilantro,4.1,1880,Mexican,$$$,Gulshan
Cafe Mario's,3.8,5,Mexican,N/A,Gulshan
El Toro Express,N/A,N/A,Mexican,N/A,Gulshan
Taco Twist,3.3,3,Mexican,N/A,Gulshan
Texas Flame | Best Steakhouse In Dhaka,4.9,3391,Mexican,"৳2,000+",Gulshan
Delhi Tacos,3.3,3,Mexican,N/A,Gulshan
TODOS SANTOS,4,91,Mexican,N/A,Gulshan
RUYI BARBECUE,4.5,136,BBQ,"৳2,000+",Gulshan
Bar.B.Q Tonight,4.3,1067,BBQ,$$$,Gulshan
Bar B Q Tonight Dhaka,4.6,7,BBQ,"৳2,000+",Gulshan
Woodhouse Grill Banani,4.6,10044,BBQ,"৳2,000+",Gulshan
Meat Theory,4.8,5008,BBQ,"৳2,000+",Gulshan
Steak & Marrow,4.6,905,BBQ,"৳2,000+",Gulshan
Charcoal BAR & BBQ Restaurant,4.5,437,BBQ,"৳2,000+",Gulshan
Sky Pool Restaurant,4.3,449,BBQ,"৳2,000+",Gulshan
Grill On The Skyline,4.5,209,BBQ,N/A,Gulshan
Bar B Q Tonite,4.2,3322,BBQ,$$,Gulshan
Woodhouse Grill Gulshan,4.8,1069,BBQ,"৳2,000+",Gulshan
Beyond Buffet (Gulshan),4,3979,BBQ,$$$,Gulshan
Grill Theory,4.7,66,BBQ,N/A,Gulshan
Pizzaburg Gulshan,4.8,4672,BBQ,৳200–600,Gulshan
Oro Dhaka,4.4,610,BBQ,"৳2,000+",Gulshan
Chef's Table - Gulshan 2,4.5,9928,BBQ,N/A,Gulshan
Kacchi Bhai - Gulshan,4.2,3443,Biryani/Kacchi,৳200–400,Gulshan
Sultan's Dine Gulshan Branch,4.3,11503,Biryani/Kacchi,৳400–600,Gulshan
Fakhruddin Biriyani & Restaurant - Gulshan 1,3.9,2715,Biryani/Kacchi,৳200–400,Gulshan
Kacchi Bhai - Taste Of Traditional Kacchi,4.1,5225,Biryani/Kacchi,৳200–400,Gulshan
Kacchi Bhai - Khilgaon,4.6,809,Biryani/Kacchi,$$,Gulshan
Bhagyakul Kacchi Ghor,4.3,10,Biryani/Kacchi,"৳2,000+",Gulshan
Kolkata Kacchi Ghor,4.1,5490,Biryani/Kacchi,৳200–400,Gulshan
Kacchi Bhai,4,7782,Biryani/Kacchi,৳200–400,Gulshan
Noyon Biriyani House,4.2,5856,Biryani/Kacchi,৳1–200,Gulshan
Kacchi Bhai - Banasree,4.1,1510,Biryani/Kacchi,৳200–600,Gulshan
Kacchi Bhai- Baily Road,4,2295,Biryani/Kacchi,৳200–400,Gulshan
Kacchi Bhai - Uttara,4.1,5539,Biryani/Kacchi,৳200–400,Gulshan
Pagla Baburchi,4.1,1492,Biryani/Kacchi,N/A,Gulshan
Kacchi Bhai - Dhanmondi,4,5636,Biryani/Kacchi,৳200–600,Gulshan
Bismillah Hanif Biriyani and Restaurant,3.8,17,Biryani/Kacchi,৳200–400,Gulshan
Halal Bashmoti Kacchi Biriyani,4.4,200,Biryani/Kacchi,৳200–400,Gulshan
"Domino’s Pizza, Gulshan 1",4.3,825,Pizza,$$,Gulshan
Cheez Banani,4.4,2174,Pizza,$$,Gulshan
Pizza Hut,4.2,1226,Pizza,$$,Gulshan
Domino's Pizza Banani,4.4,2257,Pizza,$$,Gulshan
Pizza Hut Gulshan 2,4.2,248,Pizza,$$,Gulshan
